,genre,popularity,key,mode
192038,0,66,4,0
192039,0,73,2,0
192040,0,68,6,1
192041,0,66,6,0
192042,0,71,0,0
192043,0,64,0,1
192044,0,68,7,0
192045,0,67,5,1
192046,0,68,10,0
192047,0,68,0,0
192048,0,72,6,0
192049,0,69,6,0
192050,0,66,5,1
192051,0,68,4,1
192052,0,66,11,1
192053,0,71,0,1
192054,0,68,3,1
192055,0,68,2,0
192056,0,66,7,1
192057,0,70,1,0
192058,0,74,7,1
192059,0,67,0,0
192060,0,65,2,0
192061,0,65,8,0
192062,0,66,7,1
192063,0,70,7,0
192064,0,73,1,0
192065,0,70,2,0
192066,0,60,1,1
192067,0,67,10,1
192068,0,66,7,0
192069,0,67,7,0
192070,0,66,10,0
192071,0,65,4,0
192072,0,67,6,0
192073,0,69,7,1
192074,0,65,6,0
192075,0,67,0,0
192076,0,68,6,0
192077,0,66,2,0
192078,0,70,9,1
192079,0,73,6,0
192080,0,70,0,0
192081,0,74,8,1
192082,0,73,10,1
192083,0,68,10,0
192084,0,72,10,1
192085,0,64,0,0
192086,0,66,7,0
192087,0,68,7,0
192088,0,71,6,1
192089,0,64,4,0
192090,0,69,7,0
192091,0,18,0,0
192092,0,64,5,0
192093,0,71,0,0
192094,0,67,1,0
192095,0,63,2,1
192096,0,69,1,1
192097,0,62,4,1
192098,0,69,0,1
192099,0,68,6,1
192100,0,70,8,1
192101,0,68,0,1
192102,0,66,0,1
192103,0,69,1,1
192104,0,64,0,0
192105,0,70,2,0
192106,0,67,0,1
192107,0,66,2,0
192108,0,68,0,0
192109,0,64,9,1
192110,0,66,10,0
192111,0,67,11,1
192112,0,69,2,1
192113,0,66,5,1
192114,0,62,8,0
192115,0,67,11,0
192116,0,67,11,1
192117,0,74,7,0
192118,0,66,5,0
192119,0,61,7,0
192120,0,64,8,1
192121,0,65,8,0
192122,0,65,5,1
192123,0,68,6,0
192124,0,70,11,0
192125,0,67,0,0
192126,0,70,7,1
192127,0,65,11,1
192128,0,68,8,0
192129,0,69,9,1
192130,0,69,10,0
192131,0,73,6,0
192132,0,64,1,0
192133,0,62,3,0
192134,0,67,5,0
192135,0,64,11,1
192136,0,67,10,1
192137,0,59,3,1
192138,0,68,9,0
192139,0,69,8,0
192140,0,70,5,1
192141,0,66,11,1
192142,0,70,9,1
192143,0,67,10,0
192144,0,68,7,1
192145,0,71,3,1
192146,0,69,6,0
192147,0,65,2,1
192148,0,61,11,1
192149,0,66,4,1
192150,0,66,1,0
192151,0,65,9,0
192152,0,61,3,1
192153,0,61,0,0
192154,0,66,8,0
192155,0,73,1,0
192156,0,68,0,1
192157,0,66,9,0
192158,0,71,8,0
192159,0,69,0,0
192160,0,64,7,0
192161,0,65,10,0
192162,0,64,6,0
192163,0,65,2,0
192164,0,64,9,0
192165,0,61,10,0
192166,0,71,1,0
192167,0,62,4,0
192168,0,61,7,0
192169,0,69,5,1
192170,0,67,8,0
192171,0,66,1,0
192172,0,62,4,0
192173,0,68,1,0
192174,0,64,6,0
192175,0,67,6,0
192176,0,70,5,1
192177,0,68,1,0
192178,0,65,3,0
192179,0,67,2,0
192180,0,66,5,0
192181,0,60,10,1
192182,0,64,11,1
192183,0,62,5,0
192184,0,66,1,0
192185,0,60,9,1
192186,0,72,6,0
192187,0,73,7,0
192188,0,63,2,0
192189,0,68,8,0
192190,0,62,9,0
192191,0,65,11,1
192192,0,63,6,0
